date,product,region,sales,cost
2022-01-02,Laptop,Central,2725,1755.33
2022-01-02,Monitor,East,1321,1103.21
2022-01-02,Mouse,East,434,288.9
2022-01-02,Phone,West,4984,4061.22
2022-01-02,Phone,North,228,144.45
2022-01-02,Phone,North,756,615.71
2022-01-02,Tablet,South,3108,1672.89
2022-01-02,Mouse,East,3702,2431.71
2022-01-02,Monitor,North,2776,2067.16
2022-01-02,Headphones,East,3699,2898.88
2022-01-02,Monitor,West,4927,3571.75
2022-01-02,Phone,North,4423,3489.18
2022-01-02,Keyboard,Central,2886,1807.46
2022-01-02,Keyboard,West,1071,748.2
2022-01-02,Mouse,East,1785,1000.71
2022-01-02,Keyboard,West,1893,1046.95
2022-01-02,Headphones,West,1683,1148.77
2022-01-02,Tablet,Central,1506,1025.59
2022-01-02,Keyboard,South,675,360.11
2022-01-02,Mouse,South,611,391.73
2022-01-02,Headphones,Central,4628,2650.68
2022-01-02,Mouse,East,709,570.06
2022-01-02,Tablet,North,998,809.82
2022-01-02,Laptop,Central,1142,833.55
2022-01-02,Mouse,North,510,279.04
2022-01-02,Laptop,East,2457,1344.82
2022-01-02,Mouse,South,3316,1813.55
2022-01-02,Laptop,Central,2400,1476.24
2022-01-02,Keyboard,West,3484,1891.32
2022-01-02,Tablet,Central,2220,1820.41
2022-01-02,Headphones,South,4917,4071.64
2022-01-02,Keyboard,North,1692,1407.42
2022-01-02,Monitor,East,1510,1212.71
2022-01-02,Headphones,Central,719,590.23
2022-01-02,Keyboard,North,1976,1625.39
2022-01-02,Monitor,West,4480,3615.77
2022-01-02,Mouse,West,1899,1281.07
2022-01-02,Monitor,East,2679,1615.9
2022-01-02,Monitor,West,2916,2414.7
2022-01-02,Keyboard,North,2046,1398.45
2022-01-02,Laptop,North,3716,2455.88
2022-01-02,Keyboard,Central,272,204.78
2022-01-02,Laptop,Central,373,267.87
2022-01-02,Tablet,Central,1652,842.17
2022-01-02,Mouse,East,1848,1256.46
2022-01-02,Phone,East,3778,2076.96
2022-01-02,Mouse,Central,3264,1940.13
2022-01-02,Tablet,South,689,440.15
2022-01-02,Monitor,West,566,389.97
2022-01-02,Keyboard,East,4675,2348.06
2022-01-02,Keyboard,West,297,222.67
2022-01-02,Laptop,North,4506,2998.36
2022-01-02,Mouse,North,4021,2466.51
2022-01-02,Headphones,South,4490,2743.45
2022-01-02,Laptop,Central,1740,976.16
2022-01-02,Headphones,Central,4028,2363.81
2022-01-02,Monitor,East,4358,2236.37
2022-01-02,Keyboard,South,4390,3089.06
2022-01-02,Tablet,South,1944,1213.56
2022-01-02,Headphones,East,4278,3156.77
2022-01-02,Monitor,North,196,129.03
2022-01-02,Mouse,West,903,556.85
2022-01-02,Monitor,North,259,186.73
2022-01-02,Headphones,Central,2882,1813.04
2022-01-02,Monitor,North,2247,1514.27
2022-01-02,Mouse,West,4983,2832.3
2022-01-02,Phone,North,4607,2922.8
2022-01-02,Phone,Central,4474,3257.03
2022-01-02,Monitor,South,3656,2420.13
2022-01-02,Keyboard,South,4900,2776.98
2022-01-02,Phone,West,4903,4022.32
2022-01-02,Monitor,South,2520,1445.14
2022-01-02,Laptop,East,2962,2510.69
2022-01-02,Mouse,South,2818,1888.46
2022-01-02,Keyboard,Central,839,687.62
2022-01-02,Tablet,East,3106,2315.55
2022-01-02,Tablet,Central,3321,2115.18
2022-01-02,Mouse,Central,1731,1225.9
2022-01-02,Monitor,Central,2854,1767.02
2022-01-02,Headphones,Central,3132,2037.42
2022-01-02,Keyboard,West,4050,2179.09
2022-01-02,Mouse,West,2228,1756.2
2022-01-02,Headphones,South,3729,2398.36
2022-01-03,Phone,South,4791,3636.14
2022-01-03,Mouse,East,4236,2634.52
2022-01-03,Tablet,North,3117,2616.01
2022-01-03,Laptop,North,4223,2633.62
2022-01-03,Phone,East,2865,2232.38
2022-01-03,Mouse,South,1738,984.97
2022-01-03,Keyboard,Central,721,363.87
2022-01-03,Headphones,West,920,578.12
2022-01-03,Tablet,South,1718,1036.89
2022-01-03,Keyboard,East,3557,2402.75
2022-01-03,Mouse,South,933,638.59
2022-01-03,Tablet,North,2669,2067.22
2022-01-03,Phone,Central,3739,1951.22
2022-01-03,Phone,East,3324,2100.83
2022-01-03,Phone,West,369,295.41
2022-01-03,Keyboard,South,2887,1901.36
2022-01-03,Tablet,South,2366,1650.13
2022-01-03,Mouse,West,137,113.09
2022-01-03,Mouse,East,1134,874.1
2022-01-03,Mouse,North,4378,3363.23
2022-01-03,Keyboard,Central,2561,1634.77
2022-01-03,Phone,Central,3321,2642.49
2022-01-03,Phone,Central,4993,3085.78
2022-01-03,Headphones,South,3427,2770.64
2022-01-03,Laptop,East,728,431.52
2022-01-03,Keyboard,North,3099,2604.7
2022-01-03,Phone,Central,3821,2143.19
2022-01-03,Tablet,South,1611,1120.88
2022-01-03,Headphones,North,3362,2001.79
2022-01-03,Tablet,East,4926,4155.51
2022-01-03,Tablet,West,1293,962.39
2022-01-03,Monitor,West,412,275.91
2022-01-03,Mouse,East,1958,1366.13
2022-01-03,Keyboard,West,4565,3113.52
2022-01-03,Mouse,East,4405,3326.06
2022-01-03,Keyboard,East,981,796.14
2022-01-03,Laptop,West,3052,2388.18
2022-01-03,Tablet,Central,252,134.59
2022-01-03,Monitor,South,1462,795.93
2022-01-03,Keyboard,North,2393,1734.14
2022-01-03,Monitor,East,1451,739.39
2022-01-03,Tablet,East,1514,948.14
2022-01-03,Phone,Central,1535,789.39
2022-01-03,Headphones,Central,167,118.07
2022-01-03,Phone,North,1313,940.62
2022-01-03,Mouse,South,3173,1983.88
2022-01-03,Tablet,East,3058,1591.12
2022-01-03,Phone,East,4567,2754.47
2022-01-03,Monitor,East,255,168.12
2022-01-03,Tablet,North,4160,2526.45
2022-01-03,Mouse,West,296,184.27
2022-01-03,Tablet,North,523,356.15
2022-01-03,Monitor,Central,4913,3679.38
2022-01-03,Laptop,South,3686,2767.64
2022-01-03,Tablet,West,1171,698.56
2022-01-03,Monitor,South,2102,1314.93
2022-01-03,Mouse,South,3186,1632.99
2022-01-03,Mouse,West,423,237.52
2022-01-03,Keyboard,North,541,447.71
2022-01-03,Keyboard,North,3374,2074.5
2022-01-03,Phone,East,2153,1357.97
2022-01-03,Keyboard,East,2426,1619.99
2022-01-03,Keyboard,North,882,485.27
2022-01-03,Keyboard,North,2158,1607.18
2022-01-03,Tablet,East,4564,3139.87
2022-01-03,Tablet,South,1577,938.06
2022-01-03,Monitor,North,2290,1695.09
2022-01-03,Headphones,East,416,252.19
2022-01-03,Mouse,West,1889,1400.58
2022-01-03,Monitor,West,3619,2254.61
2022-01-03,Monitor,Central,2558,1433.01
2022-01-03,Tablet,North,446,374.44
2022-01-03,Tablet,East,2141,1502.54
2022-01-03,Keyboard,East,284,216.02
2022-01-03,Tablet,North,2950,1815.2
2022-01-03,Laptop,North,1758,954.19
2022-01-03,Tablet,East,3828,2020.06
2022-01-03,Headphones,East,2982,1890.32
2022-01-04,Phone,West,395,296.41
2022-01-04,Tablet,North,2677,2270.39
2022-01-04,Laptop,East,4741,2712.66
2022-01-04,Tablet,East,3682,2213.7
2022-01-04,Laptop,North,1708,1339.35
2022-01-04,Monitor,West,934,483.15
2022-01-04,Headphones,East,311,165.51
2022-01-04,Mouse,Central,3363,1820.93
2022-01-04,Monitor,North,2412,1277.43
2022-01-04,Tablet,Central,2569,1688.36
2022-01-04,Monitor,East,1571,1204.77
2022-01-04,Phone,Central,2046,1598.2
2022-01-04,Laptop,South,4648,3407.16
2022-01-04,Phone,East,3859,3267.12
2022-01-04,Laptop,North,1519,804.08
2022-01-04,Tablet,East,3812,2640.48
2022-01-04,Headphones,South,1113,623.5
2022-01-04,Mouse,North,4471,3275.76
2022-01-04,Laptop,Central,4258,2624.58
2022-01-04,Keyboard,West,4613,3793.95
2022-01-04,Phone,South,2307,1457.26
2022-01-04,Monitor,North,4120,2828.1
2022-01-04,Headphones,West,4688,3336.15
2022-01-04,Mouse,West,162,98.2
2022-01-04,Tablet,South,2230,1174.91
2022-01-04,Laptop,West,3142,1599.25
2022-01-04,Keyboard,East,3596,3020.78
2022-01-04,Tablet,Central,4294,3622.32
2022-01-04,Tablet,Central,182,140.04
2022-01-04,Laptop,South,4972,4019.07
2022-01-04,Tablet,West,1860,1328.8
2022-01-04,Phone,East,3468,2002.69
2022-01-04,Headphones,North,3921,2207.96
2022-01-04,Headphones,Central,3353,1971.26
2022-01-04,Phone,South,1433,1218.02
2022-01-04,Keyboard,Central,2089,1193.55
2022-01-04,Keyboard,North,701,518.0
2022-01-04,Mouse,Central,2379,1531.24
2022-01-04,Laptop,West,515,291.54
2022-01-04,Mouse,South,3377,1937.64
2022-01-04,Headphones,West,2066,1295.45
2022-01-04,Laptop,West,2787,1799.39
2022-01-04,Keyboard,South,1873,1567.12
2022-01-04,Tablet,North,4760,3842.63
2022-01-04,Headphones,West,1714,1247.18
2022-01-04,Phone,East,964,671.4
2022-01-04,Headphones,West,3249,2289.35
2022-01-04,Monitor,North,3999,3328.67
2022-01-04,Keyboard,East,287,193.02
2022-01-04,Phone,South,3575,2409.31
2022-01-04,Mouse,South,3679,2195.98
2022-01-04,Monitor,West,3942,2431.49
2022-01-04,Tablet,East,1093,548.21
2022-01-04,Phone,East,309,241.54
2022-01-04,Phone,North,2176,1532.31
2022-01-04,Laptop,East,3465,2252.39
2022-01-04,Laptop,South,4594,3469.76
2022-01-04,Tablet,South,347,255.26
2022-01-04,Keyboard,Central,3497,2695.61
2022-01-04,Monitor,East,574,294.94
2022-01-04,Headphones,South,4656,3336.45
2022-01-04,Laptop,East,4172,2686.93
2022-01-04,Mouse,North,3268,2266.24
2022-01-04,Mouse,Central,1877,1442.97
2022-01-04,Phone,West,2180,1844.09
2022-01-04,Laptop,North,3458,1878.2
2022-01-04,Headphones,South,529,309.8
2022-01-04,Tablet,East,3607,2515.2
2022-01-04,Keyboard,Central,3567,2836.45
2022-01-04,Headphones,North,1956,1061.05
2022-01-04,Laptop,North,2044,1268.8
2022-01-04,Monitor,West,2466,1788.98
2022-01-04,Laptop,East,3301,2011.15
2022-01-04,Mouse,North,212,125.57
2022-01-04,Headphones,South,3241,1822.51
2022-01-04,Phone,West,3956,1986.17
2022-01-04,Headphones,North,4593,2484.96
2022-01-04,Laptop,Central,193,103.2
2022-01-04,Mouse,West,1978,1068.47
2022-01-04,Mouse,South,3339,2572.24
2022-01-04,Mouse,East,3228,2404.12
2022-01-04,Headphones,North,4714,3447.32
2022-01-04,Headphones,South,4276,3064.66
2022-01-04,Headphones,West,3473,2839.49
2022-01-04,Tablet,Central,116,93.62
2022-01-04,Laptop,East,494,355.91
2022-01-04,Headphones,North,1459,1151.48
2022-01-04,Mouse,West,550,399.48
2022-01-04,Monitor,East,4635,2923.31
2022-01-04,Tablet,South,2592,1905.42
2022-01-04,Monitor,West,4775,2827.03
2022-01-04,Tablet,West,1988,1026.61
2022-01-04,Headphones,East,3555,2905.11
2022-01-04,Laptop,West,3693,1922.28
2022-01-04,Mouse,South,4552,2964.24
2022-01-04,Laptop,South,2108,1674.04
2022-01-04,Laptop,South,1954,1123.62
2022-01-04,Headphones,North,268,137.76
2022-01-04,Tablet,East,3124,1781.39
2022-01-04,Headphones,North,381,214.82
2022-01-04,Keyboard,West,3178,2100.71
2022-01-04,Tablet,East,4256,3197.86
2022-01-04,Tablet,South,2536,2152.87
2022-01-04,Laptop,South,3112,2404.35
2022-01-04,Laptop,North,3428,1970.05
2022-01-04,Headphones,West,4677,3797.27
2022-01-04,Phone,Central,2659,1725.2
2022-01-04,Mouse,North,4073,2353.84
2022-01-05,Laptop,East,2374,1320.36
2022-01-05,Headphones,Central,3631,2926.92
2022-01-05,Headphones,South,2854,1500.46
2022-01-05,Monitor,North,4442,2987.23
2022-01-05,Headphones,West,2406,1602.88
2022-01-05,Mouse,East,788,540.1
2022-01-05,Keyboard,West,1228,919.49
2022-01-05,Laptop,East,3966,2154.31
2022-01-05,Phone,West,1800,1334.56
2022-01-05,Keyboard,South,893,629.97
2022-01-05,Headphones,East,2732,2146.11
2022-01-05,Headphones,North,468,247.49
2022-01-05,Tablet,East,1628,1340.58
2022-01-05,Mouse,West,1872,1553.17
2022-01-05,Laptop,East,1492,1160.62
2022-01-05,Mouse,Central,275,143.75
2022-01-05,Headphones,East,4813,3162.85
2022-01-05,Monitor,Central,1200,984.76
2022-01-05,Monitor,West,2639,1797.4
2022-01-05,Headphones,West,909,719.22
2022-01-05,Tablet,East,4194,2456.1
2022-01-05,Laptop,North,2201,1281.9
2022-01-05,Keyboard,Central,4728,2478.71
2022-01-05,Mouse,East,3769,2500.71
2022-01-05,Headphones,Central,2736,1410.06
2022-01-05,Keyboard,West,3384,1733.03
2022-01-05,Headphones,North,1040,597.51
2022-01-05,Monitor,West,599,421.79
2022-01-05,Tablet,West,4955,2736.15
2022-01-05,Monitor,North,1005,561.4
2022-01-05,Monitor,North,2372,1294.57
2022-01-05,Keyboard,West,709,451.5
2022-01-05,Phone,East,1039,840.56
2022-01-05,Phone,East,3032,2191.68
2022-01-05,Keyboard,Central,4342,2987.5
2022-01-05,Mouse,Central,1296,771.35
2022-01-05,Keyboard,North,250,183.15
2022-01-05,Headphones,North,272,216.61
2022-01-05,Monitor,East,4525,2445.46
2022-01-05,Mouse,West,4081,2941.23
2022-01-05,Tablet,North,1455,1190.82
2022-01-05,Keyboard,North,406,258.35
2022-01-05,Phone,West,3392,1932.64
2022-01-05,Mouse,East,568,362.98
2022-01-05,Keyboard,South,3729,2707.43
2022-01-05,Phone,South,2124,1602.0
2022-01-05,Keyboard,North,4617,3795.93
2022-01-05,Laptop,South,179,132.39
2022-01-05,Phone,East,4847,3264.31
2022-01-05,Headphones,North,4326,3482.55
2022-01-05,Tablet,West,4757,3294.9
2022-01-05,Headphones,East,3833,3010.82
2022-01-05,Phone,South,4270,3416.94
2022-01-05,Headphones,West,3738,2787.73
2022-01-05,Mouse,North,2197,1261.97
2022-01-05,Headphones,West,2110,1643.08
2022-01-05,Tablet,East,2738,1496.24
2022-01-05,Keyboard,West,1133,673.21
2022-01-05,Tablet,West,2175,1660.0
2022-01-05,Phone,East,4973,2634.25
2022-01-05,Monitor,South,3751,2791.62
2022-01-05,Phone,South,4528,3216.04
2022-01-05,Headphones,West,2442,1271.2
2022-01-05,Phone,West,2974,1746.5
2022-01-05,Keyboard,West,1078,864.41
2022-01-05,Monitor,North,4258,2682.52
2022-01-05,Phone,North,2082,1504.13
2022-01-05,Keyboard,Central,1607,1299.86
2022-01-05,Laptop,North,3376,2497.35
2022-01-05,Keyboard,West,3267,2670.91
2022-01-05,Mouse,East,3534,1954.72
2022-01-05,Mouse,North,3331,2251.41
2022-01-05,Laptop,West,4140,3087.17
2022-01-05,Phone,East,3388,2413.13
2022-01-05,Monitor,South,3322,2217.65
2022-01-05,Mouse,Central,917,473.86
2022-01-05,Laptop,East,1216,736.71
2022-01-05,Laptop,Central,4171,3238.76
2022-01-05,Mouse,Central,669,365.66
2022-01-05,Monitor,North,2329,1415.37
2022-01-05,Monitor,East,1358,830.34
2022-01-05,Tablet,South,3783,2767.54
2022-01-05,Monitor,North,2179,1663.22
2022-01-05,Keyboard,Central,3277,1976.85
2022-01-05,Phone,Central,4025,2562.29
2022-01-06,Laptop,North,1288,888.55
2022-01-06,Monitor,West,3025,2435.66
2022-01-06,Headphones,Central,2997,2481.51
2022-01-06,Laptop,West,836,708.28
2022-01-06,Laptop,South,2448,1586.22
2022-01-06,Phone,East,4556,3132.57
2022-01-06,Mouse,East,2111,1235.71
2022-01-06,Headphones,North,463,257.15
2022-01-06,Headphones,Central,2808,2347.58
2022-01-06,Keyboard,North,2065,1112.09
2022-01-06,Keyboard,East,3294,2466.18
2022-01-06,Mouse,North,4015,2418.6
2022-01-06,Phone,North,3272,2218.07
2022-01-06,Keyboard,Central,189,121.69
2022-01-06,Phone,South,572,354.75
2022-01-06,Laptop,East,4179,2933.09
2022-01-06,Mouse,East,689,549.57
2022-01-06,Phone,West,3523,2958.72
2022-01-06,Monitor,South,132,97.1
2022-01-06,Headphones,South,1892,1387.54
2022-01-06,Mouse,East,3224,2194.11
2022-01-06,Laptop,Central,619,344.46
2022-01-06,Laptop,Central,2295,1188.11
2022-01-06,Monitor,East,3023,1657.32
2022-01-06,Mouse,South,820,520.8
2022-01-06,Mouse,North,4706,2757.83
2022-01-06,Headphones,South,447,233.29
2022-01-06,Mouse,South,3657,2895.15
2022-01-06,Tablet,Central,1932,1611.29
2022-01-06,Headphones,East,677,456.66
2022-01-06,Phone,Central,198,154.69
2022-01-06,Laptop,West,2055,1069.85
2022-01-06,Tablet,South,1709,1016.57
2022-01-06,Headphones,East,141,110.56
2022-01-06,Headphones,Central,3803,2839.66
2022-01-06,Monitor,North,994,571.15
2022-01-06,Phone,Central,3008,2481.84
2022-01-06,Headphones,South,1619,1119.9
2022-01-06,Headphones,West,4171,2093.26
2022-01-06,Mouse,Central,1717,1371.78
2022-01-06,Phone,West,3571,2041.01
2022-01-06,Mouse,South,1369,1082.26
2022-01-06,Headphones,East,393,293.54
2022-01-06,Phone,North,664,335.27
2022-01-06,Keyboard,East,259,148.69
2022-01-06,Mouse,Central,3097,1966.99
2022-01-06,Mouse,North,2850,2285.61
2022-01-06,Headphones,North,4829,3752.39
2022-01-06,Mouse,Central,630,483.88
2022-01-06,Headphones,North,4902,3832.72
2022-01-06,Mouse,South,1301,956.71
2022-01-06,Laptop,South,878,491.01
2022-01-06,Monitor,North,2033,1553.08
2022-01-06,Laptop,South,2950,1847.59
2022-01-06,Phone,North,4950,3324.52
2022-01-06,Headphones,South,1198,910.25
2022-01-06,Laptop,West,1343,683.37
2022-01-06,Keyboard,North,240,138.47
2022-01-06,Monitor,North,1347,807.28
2022-01-06,Headphones,South,3679,2743.01
2022-01-06,Mouse,West,2353,1492.27
2022-01-06,Headphones,South,3754,2976.13
2022-01-06,Mouse,North,325,262.64
2022-01-06,Keyboard,South,1098,693.46
2022-01-06,Mouse,East,1286,659.5
2022-01-06,Laptop,West,3116,2106.4
2022-01-06,Monitor,South,2502,1702.18
2022-01-06,Phone,South,3610,2120.82
2022-01-06,Mouse,East,2250,1361.77
2022-01-06,Laptop,South,1138,614.6
2022-01-06,Tablet,South,239,170.32
2022-01-06,Monitor,Central,4225,2569.04
2022-01-06,Phone,North,3996,2866.19
2022-01-06,Headphones,South,4723,2690.12
2022-01-06,Laptop,West,575,311.14
2022-01-06,Tablet,South,4324,3579.66
2022-01-06,Tablet,East,1267,1072.31
2022-01-06,Phone,East,2052,1194.23
2022-01-06,Keyboard,West,2909,2258.99
2022-01-06,Headphones,Central,1951,1045.93
2022-01-06,Tablet,West,2904,1677.92
2022-01-06,Monitor,West,2842,2202.21
2022-01-06,Headphones,North,3242,2690.8
2022-01-06,Headphones,West,2246,1341.67
2022-01-06,Tablet,West,608,476.77
2022-01-06,Tablet,Central,4244,2423.5
2022-01-06,Keyboard,East,3162,2321.09
2022-01-06,Laptop,North,524,434.6
2022-01-06,Monitor,West,4263,2587.1
2022-01-06,Laptop,North,793,448.14
2022-01-06,Laptop,West,1498,1145.03
2022-01-06,Phone,South,363,265.08
2022-01-06,Phone,West,2237,1504.79
2022-01-06,Laptop,West,4312,3218.34
2022-01-07,Mouse,Central,2080,1189.39
2022-01-07,Keyboard,West,4459,3348.04
2022-01-07,Keyboard,East,1418,902.69
2022-01-07,Phone,West,1937,1374.33
2022-01-07,Phone,North,1021,685.92
2022-01-07,Keyboard,North,2334,1281.22
2022-01-07,Mouse,East,3343,1809.13
2022-01-07,Monitor,Central,495,248.46
2022-01-07,Mouse,North,4579,3461.12
2022-01-07,Phone,North,1671,1367.41
2022-01-07,Headphones,Central,1240,911.97
2022-01-07,Laptop,West,2542,1657.76
2022-01-07,Tablet,South,1638,1214.75
2022-01-07,Keyboard,Central,1774,982.62
2022-01-07,Phone,North,3213,2514.54
2022-01-07,Mouse,East,4221,3552.3
2022-01-07,Laptop,South,4187,3111.91
2022-01-07,Headphones,West,2327,1406.57
2022-01-07,Laptop,East,3556,2532.19
2022-01-07,Monitor,Central,2997,1970.15
2022-01-07,Tablet,North,103,75.12
2022-01-07,Monitor,North,312,225.14
2022-01-07,Headphones,East,3800,2449.52
2022-01-07,Keyboard,South,1306,836.91
2022-01-07,Mouse,East,3136,2255.46
2022-01-07,Mouse,Central,485,359.6
2022-01-07,Headphones,Central,3838,3024.28
2022-01-07,Laptop,West,748,561.58
2022-01-07,Headphones,South,494,266.94
2022-01-07,Headphones,South,3326,1903.25
2022-01-07,Tablet,West,3227,1956.75
2022-01-07,Headphones,East,4586,3169.9
2022-01-07,Headphones,Central,3064,2232.82
2022-01-07,Tablet,West,2462,1763.77
2022-01-07,Monitor,North,3627,2199.36
2022-01-07,Laptop,South,1381,1042.68
2022-01-07,Phone,East,3289,2257.87
2022-01-07,Keyboard,West,216,162.19
2022-01-07,Headphones,East,4528,2746.13
2022-01-07,Laptop,East,736,388.65
2022-01-07,Monitor,South,3569,2408.05
2022-01-07,Tablet,West,2205,1786.01
2022-01-07,Tablet,West,2938,1566.05
2022-01-07,Keyboard,West,667,532.06
2022-01-07,Monitor,Central,1338,910.75
2022-01-07,Keyboard,East,1188,981.32
2022-01-07,Phone,Central,4371,2470.04
2022-01-07,Headphones,South,3463,2098.8
2022-01-07,Mouse,Central,3205,2600.59
2022-01-07,Tablet,North,4256,2793.48
2022-01-07,Phone,West,1558,834.12
2022-01-07,Phone,South,786,642.15
2022-01-07,Keyboard,East,2915,1553.13
2022-01-07,Laptop,Central,4634,2543.6
2022-01-07,Headphones,North,1263,736.72
2022-01-07,Laptop,West,3966,2633.76
2022-01-07,Mouse,South,4351,3196.46
2022-01-07,Mouse,South,2572,1415.67
2022-01-07,Monitor,South,1142,695.03
2022-01-07,Phone,South,3465,1913.06
2022-01-07,Keyboard,North,2447,1312.11
2022-01-07,Phone,East,3198,1881.63
2022-01-07,Phone,Central,4928,2810.04
2022-01-07,Mouse,South,3122,1900.35
2022-01-07,Tablet,South,4106,3431.37
2022-01-07,Tablet,North,1862,1268.98
2022-01-07,Tablet,East,528,370.28
2022-01-07,Monitor,South,1778,1053.63
2022-01-07,Headphones,South,2155,1596.51
2022-01-07,Headphones,West,2872,2150.59
2022-01-07,Monitor,Central,755,580.56
2022-01-07,Mouse,North,301,203.09
2022-01-07,Phone,South,2907,1607.0
2022-01-07,Headphones,West,382,268.02
2022-01-07,Mouse,West,2015,1062.86
2022-01-07,Keyboard,East,4864,3540.38
2022-01-07,Phone,East,2883,1619.79
2022-01-07,Headphones,West,1019,855.21
2022-01-07,Monitor,Central,1110,666.18
2022-01-07,Headphones,Central,3919,2967.13
2022-01-07,Tablet,South,1554,1240.41
2022-01-07,Tablet,South,3675,1848.56
2022-01-07,Phone,East,4950,3448.19
2022-01-07,Laptop,East,3495,2569.86
2022-01-07,Laptop,South,743,469.38
2022-01-07,Tablet,East,1257,779.11
2022-01-08,Keyboard,North,4674,2958.2
2022-01-08,Tablet,South,1017,746.92
2022-01-08,Tablet,North,3701,2200.02
2022-01-08,Phone,North,2188,1612.33
2022-01-08,Laptop,South,4674,2749.77
2022-01-08,Tablet,North,2385,1789.29
2022-01-08,Mouse,East,4769,4000.32
2022-01-08,Laptop,West,4861,3014.02
2022-01-08,Headphones,East,3353,2356.93
